experiment_id,candidate_channels,candidate_cap,feature_set,training_negative_policy,model,threshold_policy,candidate_recall,entity_any_hit,entity_complete_recall,precision,recall,macro_f0_5,runtime,peak_ram,notes
phase12_default_aee30db9f785,exact+core+rare+numeric+char_tfidf,30,cpu_36,per_s1_ratio_5_hard_0.8,lightgbm_cpu,"{""gap_threshold"": 0.25, ""max_match_count"": 30, ""pair_threshold"": 0.5, ""singleton_threshold"": 0.5, ""strong_match_threshold"": 0.98}",0.7769430878705255,0.9442385160904927,0.5319665477047498,0.9811468690972593,0.7650941429861738,0.8736289160340627,1.756,0.209,sample_16; corrected truth-complete dev targets; full universe pending
phase12_optimized_aee30db9f785,exact+core+rare+numeric+char_tfidf,30,cpu_36,per_s1_ratio_5_hard_0.8,lightgbm_cpu,"{""gap_threshold"": 0.4, ""max_match_count"": 30, ""pair_threshold"": 0.7, ""singleton_threshold"": 0.7, ""strong_match_threshold"": 0.9}",0.7769430878705255,0.9442385160904927,0.5319665477047498,0.9874553265225082,0.7601889807545334,0.8754436644318726,1.756,0.209,sample_16; corrected truth-complete dev targets; full universe pending
phase12_default_84b746ecfa88,exact+core+rare+numeric+char_tfidf+exact_address,30,cpu_37,per_s1_ratio_5_hard_0.8,lightgbm_cpu,"{""gap_threshold"": 0.25, ""max_match_count"": 30, ""pair_threshold"": 0.5, ""singleton_threshold"": 0.5, ""strong_match_threshold"": 0.98}",0.7942747828844297,0.9524331030679921,0.5580973241227197,0.9796724621034129,0.7821996804001945,0.8830227699646896,1.703,0.218,sample_16; corrected truth-complete dev targets; full universe pending
phase12_optimized_84b746ecfa88,exact+core+rare+numeric+char_tfidf+exact_address,30,cpu_37,per_s1_ratio_5_hard_0.8,lightgbm_cpu,"{""gap_threshold"": 0.4, ""max_match_count"": 30, ""pair_threshold"": 0.65, ""singleton_threshold"": 0.65, ""strong_match_threshold"": 0.9}",0.7942747828844297,0.9524331030679921,0.5580973241227197,0.9852656750008791,0.7786562912526923,0.885422847561411,1.703,0.218,sample_16; corrected truth-complete dev targets; full universe pending
